Time (s);Pressure (hPa)
2,03E+08;9,82E+11
3,03E+08;9,82E+11
4,03E+08;9,82E+11
5,03E+08;9,82E+11
6,03E+08;9,82E+11
7,03E+08;9,82E+11
8,03E+08;9,82E+11
9,03E+08;9,82E+11
1,00E+09;9,82E+11
1,10E+09;9,82E+11
1,20E+09;9,82E+11
1,30E+09;9,82E+11
1,40E+09;9,82E+11
1,50E+09;9,82E+11
1,60E+09;9,82E+11
1,70E+09;9,82E+11
1,80E+09;9,82E+11
1,90E+09;9,82E+11
2,00E+09;9,82E+11
2,10E+09;9,82E+11
2,20E+09;9,82E+11
2,30E+09;9,82E+11
2,40E+09;9,82E+11
2,50E+09;9,82E+11
2,60E+09;9,82E+11
2,70E+09;9,82E+11
2,80E+09;9,82E+11
2,90E+09;9,82E+11
3,00E+09;9,82E+11
3,10E+09;9,82E+11
3,20E+09;9,82E+11
3,30E+09;9,82E+11
3,40E+09;9,82E+11
3,50E+09;9,82E+11
3,60E+09;9,82E+11
3,70E+09;9,82E+11
3,80E+09;9,82E+11
3,90E+09;9,82E+11
4,00E+09;9,82E+11
4,10E+09;9,82E+11
4,20E+09;9,82E+11
4,30E+09;9,82E+11
4,40E+09;9,82E+11
4,50E+09;9,82E+11
4,60E+09;9,82E+11
4,70E+09;9,82E+11
4,80E+09;9,82E+11
4,90E+09;9,82E+11
5,00E+09;9,82E+11
5,10E+09;9,82E+11
5,20E+09;9,82E+11
5,30E+09;9,82E+11
5,40E+09;9,82E+11
5,50E+09;9,82E+11
5,60E+09;9,82E+11
5,70E+09;9,82E+11
5,80E+09;9,82E+11
5,90E+09;9,82E+11
6,00E+09;9,82E+11
6,10E+09;9,82E+11
6,20E+09;9,82E+11
6,30E+09;9,82E+11
6,40E+09;9,82E+11
6,50E+09;9,82E+11
6,60E+09;9,82E+11
6,70E+09;9,82E+11
6,80E+09;9,82E+11
6,90E+09;9,82E+11
7,00E+09;9,82E+11
7,10E+09;9,82E+11
7,20E+09;9,82E+11
7,30E+09;9,82E+11
7,40E+09;9,82E+11
7,50E+09;9,82E+11
7,60E+09;9,82E+11
7,70E+09;9,82E+11
7,80E+09;9,82E+11
7,90E+09;9,82E+11
8,00E+09;9,82E+11
8,10E+09;9,82E+11
8,20E+09;9,82E+11
8,30E+09;9,82E+11
8,40E+09;9,82E+11
8,50E+09;9,82E+11
8,60E+09;9,82E+11
8,70E+09;9,82E+11
8,80E+09;9,82E+11
8,90E+09;9,82E+11
9,00E+09;9,82E+11
9,10E+09;9,82E+11
9,20E+09;9,82E+11
9,30E+09;9,82E+11
9,40E+09;9,82E+11
9,50E+09;9,82E+11
9,60E+09;9,82E+11
9,70E+09;9,82E+11
9,80E+09;9,82E+11
9,90E+09;9,82E+11
1,00E+10;9,82E+11
1,01E+10;9,82E+11
1,02E+10;9,82E+11
1,03E+10;9,82E+11
1,04E+10;9,82E+11
1,05E+10;9,82E+11
1,06E+10;9,82E+11
1,07E+10;9,82E+11
1,08E+10;9,82E+11
1,09E+10;9,82E+11
1,10E+10;9,82E+11
1,11E+10;9,82E+11
1,12E+10;9,81E+11
1,13E+10;9,81E+11
1,14E+10;9,81E+11
1,15E+10;9,81E+11
1,16E+10;9,81E+11
1,17E+10;9,81E+11
1,18E+10;9,81E+11
1,19E+10;9,81E+11
1,20E+10;9,81E+11
1,21E+10;9,81E+11
1,22E+10;9,81E+11
1,23E+10;9,81E+11
1,24E+10;9,81E+11
