"Time (s)";"Pressure (hPa)"
2.024112720E-1;9.876162109E2
3.024112720E-1;9.875754395E2
4.024112720E-1;9.875512695E2
5.024112720E-1;9.874956055E2
6.024112720E-1;9.874777832E2
7.024112720E-1;9.875424805E2
8.024112720E-1;9.875566406E2
9.024112720E-1;9.875407715E2
1.002411272E0;9.875024414E2
1.102411272E0;9.874934082E2
1.202411272E0;9.875175781E2
1.302411272E0;9.875637207E2
1.402411272E0;9.876181641E2
1.502411272E0;9.876455078E2
1.602411272E0;9.876530762E2
1.702411272E0;9.876931152E2
1.802411272E0;9.876965332E2
1.902411272E0;9.876899414E2
2.002411272E0;9.876945801E2
2.102411272E0;9.877048340E2
2.202411272E0;9.876853027E2
2.302411272E0;9.876958008E2
2.402411272E0;9.877001953E2
2.502411272E0;9.876728516E2
2.602411272E0;9.876953125E2
2.702411272E0;9.877175293E2
2.802411272E0;9.877253418E2
2.904382422E0;9.877343750E2
3.004382422E0;9.877478027E2
3.104382422E0;9.877622070E2
3.204382422E0;9.877604980E2
3.304382422E0;9.877751465E2
3.404382422E0;9.877829590E2
3.504382422E0;9.877692871E2
3.604382422E0;9.877683105E2
3.704382422E0;9.877683105E2
3.804382422E0;9.877753906E2
3.904382422E0;9.877758789E2
4.004382422E0;9.877746582E2
4.104382422E0;9.877924805E2
4.204382422E0;9.878000488E2
4.304382422E0;9.878100586E2
4.404382422E0;9.877988281E2
4.504382422E0;9.878059082E2
4.604382422E0;9.877875977E2
4.704382422E0;9.877553711E2
4.804382422E0;9.877529297E2
4.904382422E0;9.877512207E2
5.004382422E0;9.877338867E2
5.104382422E0;9.877277832E2
5.204382422E0;9.877426758E2
5.304382422E0;9.877282715E2
5.404382422E0;9.877160645E2
5.504382422E0;9.877136230E2
5.604382422E0;9.877502441E2
5.704382422E0;9.877551270E2
5.804382422E0;9.877453613E2
5.904382422E0;9.877336426E2
6.004382422E0;9.877158203E2
6.104382422E0;9.877009277E2
6.204382422E0;9.877231445E2
6.304382422E0;9.877482910E2
6.404382422E0;9.877587891E2
6.504382422E0;9.877744141E2
6.604382422E0;9.877880859E2
6.704382422E0;9.877844238E2
6.804382422E0;9.877883301E2
6.904382422E0;9.878071289E2
7.004382422E0;9.878073730E2
