"Time (s)","Pressure (hPa)"
2.031404640E-1,9.822392578E2
3.031404640E-1,9.822763672E2
4.031404640E-1,9.822580566E2
5.031404640E-1,9.821997070E2
6.031404640E-1,9.821667480E2
7.031404640E-1,9.821315918E2
8.031404640E-1,9.821303711E2
9.031404640E-1,9.820952148E2
1.003140464E0,9.820876465E2
1.103140464E0,9.821186523E2
1.203140464E0,9.821088867E2
1.303140464E0,9.820971680E2
1.403140464E0,9.820698242E2
1.503140464E0,9.820649414E2
1.603140464E0,9.820908203E2
1.703140464E0,9.821062012E2
1.803140464E0,9.821132812E2
1.903140464E0,9.821057129E2
2.003140464E0,9.821154785E2
2.103140464E0,9.821164551E2
2.203140464E0,9.821081543E2
2.303140464E0,9.821254883E2
2.403140464E0,9.821110840E2
2.503140464E0,9.821059570E2
2.603140464E0,9.821237793E2
2.703140464E0,9.821396484E2
2.803140464E0,9.821105957E2
2.903140464E0,9.821091309E2
3.003140464E0,9.821164551E2
3.103140464E0,9.821166992E2
3.204580960E0,9.821293945E2
3.304580960E0,9.821230469E2
3.404580960E0,9.821042480E2
3.504580960E0,9.820974121E2
3.604580960E0,9.821054688E2
3.704580960E0,9.820996094E2
3.804580960E0,9.820703125E2
3.904580960E0,9.820424805E2
4.004580960E0,9.820378418E2
4.104580960E0,9.820302734E2
4.204580960E0,9.819975586E2
4.304580960E0,9.820058594E2
4.404580960E0,9.819941406E2
4.504580960E0,9.819846191E2
4.604580960E0,9.819829102E2
4.704580960E0,9.819616699E2
4.804580960E0,9.819301758E2
4.904580960E0,9.819304199E2
5.004580960E0,9.819006348E2
5.104580960E0,9.818947754E2
5.204580960E0,9.818923340E2
5.304580960E0,9.818974609E2
5.404580960E0,9.819038086E2
5.504580960E0,9.818986816E2
5.604580960E0,9.819116211E2
5.704580960E0,9.819038086E2
5.804580960E0,9.819243164E2
5.904580960E0,9.818881836E2
6.004580960E0,9.818669434E2
6.104580960E0,9.818588867E2
6.204580960E0,9.818586426E2
6.304580960E0,9.818562012E2
6.404580960E0,9.818483887E2
6.504580960E0,9.818522949E2
6.604580960E0,9.818503418E2
6.704580960E0,9.818271484E2
6.804580960E0,9.817937012E2
6.904580960E0,9.817856445E2
7.004580960E0,9.817770996E2
7.104580960E0,9.817802734E2
7.204580960E0,9.817939453E2
7.304580960E0,9.817746582E2
7.404580960E0,9.817707520E2
7.504580960E0,9.817775879E2
7.604580960E0,9.817802734E2
7.704580960E0,9.817761230E2
7.804589841E0,9.817744141E2
7.904589841E0,9.817397461E2
8.004589841E0,9.817255859E2
8.104589841E0,9.817224121E2
8.204589841E0,9.817072754E2
8.304589841E0,9.816928711E2
8.404589841E0,9.816821289E2
8.504589841E0,9.816789551E2
8.604589841E0,9.816640625E2
8.704589841E0,9.816604004E2
8.804589841E0,9.816455078E2
8.904589841E0,9.816193848E2
9.004589841E0,9.816281738E2
9.104589841E0,9.816408691E2
9.204589841E0,9.816342773E2
9.304589841E0,9.816313477E2
9.404589841E0,9.816506348E2
9.504589841E0,9.816313477E2
9.604589841E0,9.816413574E2
9.704589841E0,9.816293945E2
9.804589841E0,9.816181641E2
9.904589841E0,9.815957031E2
1.000458984E1,9.815681152E2
1.010469322E1,9.815664062E2
1.020469322E1,9.815522461E2
1.030469322E1,9.815544434E2
1.040469322E1,9.815227051E2
1.050469322E1,9.815065918E2
1.060469322E1,9.815175781E2
1.070469322E1,9.815383301E2
1.080469322E1,9.815051270E2
1.090469322E1,9.815253906E2
1.100469322E1,9.815139160E2
1.110469322E1,9.815090332E2
1.120469322E1,9.814975586E2
1.130469322E1,9.814995117E2
1.140469322E1,9.814755859E2
1.150469322E1,9.814501953E2
1.160469322E1,9.814248047E2
1.170469322E1,9.814401855E2
1.180469322E1,9.814370117E2
1.190469322E1,9.814240723E2
1.200469322E1,9.814401855E2
1.210469322E1,9.814431152E2
1.220469322E1,9.814199219E2
1.230469322E1,9.814340820E2
1.240469322E1,9.814367676E2
1.250469322E1,9.814445801E2
1.260469322E1,9.813989258E2
1.270469322E1,9.813896484E2
1.280469322E1,9.813518066E2
1.290469322E1,9.813271484E2
1.300469322E1,9.813315430E2
1.310469322E1,9.813525391E2
1.320469322E1,9.813542480E2
1.330469322E1,9.813371582E2
1.340469322E1,9.813239746E2
1.350469322E1,9.813186035E2
1.360469322E1,9.813178711E2
1.370469322E1,9.813137207E2
1.380469322E1,9.813242188E2
1.390469322E1,9.813173828E2
1.400469322E1,9.813142090E2
1.410469322E1,9.813039551E2
1.420469322E1,9.812839355E2
1.430469322E1,9.812709961E2
1.440469322E1,9.812602539E2
1.450469322E1,9.812556152E2
1.460469322E1,9.812622070E2
1.470469322E1,9.812399902E2
1.480469322E1,9.811997070E2
1.490469322E1,9.811877441E2
1.500469322E1,9.811848145E2
1.510469232E1,9.811674805E2
1.520469232E1,9.811843262E2
1.530469232E1,9.811791992E2
1.540469232E1,9.811779785E2
1.550469232E1,9.811853027E2
1.560469232E1,9.811721191E2
1.570469232E1,9.811699219E2
1.580469232E1,9.811613770E2
1.590469232E1,9.811657715E2
1.600469232E1,9.811657715E2
1.610469232E1,9.811374512E2
1.620469232E1,9.811088867E2
1.630469232E1,9.811142578E2
1.640217995E1,9.811022949E2
1.650217995E1,9.810969238E2
1.660217995E1,9.810795898E2
1.670217995E1,9.810827637E2
1.680217995E1,9.810947266E2
1.690217995E1,9.810734863E2
1.700217995E1,9.810847168E2
1.710217995E1,9.810803223E2
1.720217995E1,9.810717773E2
1.730217995E1,9.810507812E2
1.740217995E1,9.810468750E2
1.750217995E1,9.810261230E2
